Timestamp,DRA0010_COATING_DIAMETER
="2022-12-01 16:05:19.604",5038.0
="2022-12-01 16:04:55.237",5037.0
="2022-12-01 16:04:30.379",5038.0
="2022-12-01 16:04:05.042",5037.0
="2022-12-01 16:03:39.704",5038.0
="2022-12-01 16:03:14.357",5038.0
="2022-12-01 16:02:49.260",5038.0
="2022-12-01 16:02:24.402",5038.0
="2022-12-01 16:01:59.055",5037.0
="2022-12-01 16:01:33.228",5037.0
="2022-12-01 16:01:08.371",5037.0
="2022-12-01 16:00:42.292",5036.0
="2022-12-01 16:00:17.436",5037.0
="2022-12-01 15:59:52.838",5038.0
="2022-12-01 15:59:28.470",5037.0
="2022-12-01 15:59:03.613",5038.0
="2022-12-01 15:58:38.265",5038.0
="2022-12-01 15:58:13.378",5038.0
="2022-12-01 15:57:49.041",5038.0
="2022-12-01 15:57:25.492",5038.0
="2022-12-01 15:57:01.225",5037.0
="2022-12-01 15:56:35.988",5037.0
="2022-12-01 15:56:10.760",4956.0
="2022-12-01 15:55:46.113",4956.0
="2022-12-01 15:55:21.245",4956.0
="2022-12-01 15:54:56.197",5038.0
="2022-12-01 15:54:30.581",5000.0
="2022-12-01 15:54:06.402",5000.0
="2022-12-01 15:53:41.765",5000.0
="2022-12-01 15:53:15.938",5000.0
="2022-12-01 15:52:51.291",4999.0
="2022-12-01 15:52:25.712",5000.0
="2022-12-01 15:52:01.546",5000.0
="2022-12-01 15:51:35.248",5000.0
="2022-12-01 15:51:10.610",5000.0
="2022-12-01 15:50:46.924",5000.0
="2022-12-01 15:50:22.285",5000.0
="2022-12-01 15:49:58.128",5000.0
="2022-12-01 15:49:33.740",5000.0
="2022-12-01 15:49:10.512",5000.0
="2022-12-01 15:48:45.406",5000.0
="2022-12-01 15:48:20.997",5000.0
="2022-12-01 15:47:55.161",4999.0
="2022-12-01 15:47:30.043",5000.0
="2022-12-01 15:47:05.385",5000.0
="2022-12-01 15:46:26.029",5000.0
="2022-12-01 15:46:01.812",4957.0
="2022-12-01 15:45:37.235",5039.0
="2022-12-01 15:45:11.737",5000.0
="2022-12-01 15:44:46.149",5000.0
="2022-12-01 15:44:22.441",5000.0
="2022-12-01 15:43:58.744",5000.0
="2022-12-01 15:43:34.577",5000.0
="2022-12-01 15:43:09.460",5000.0
="2022-12-01 15:42:44.801",5000.0
="2022-12-01 15:42:20.164",5000.0
